ABDownloadManager: 1.10.4
Acode: 1.13.5
Aegis: 3.4.3
NopeRemote: 2.3
Kudu: 2.9.0
SpotiFLAC: 4.9.6
LibreCuts: 1.0-beta7
OrganicMaps: 2026.08.27-18-Web
AmarokHider: 0.10.1
Arcticons: 15.0.5
Bitwarden: 2026.8.1
BreezyWeather: 6.2.2_freenet
Cherrygram: 12.10.1
ConverterNOW: 4.6.3
Cromite: 148.0.7778.168
CpuInfo: 6.6.2
DeltaIcons: 2.19.0
ReFra: 5.1.3
DuckDuckGo: 5.295.1
Florisboard: 0.5.2
Flip2DND: 12.1.1-free
Fossify_Calculator: 1.4.0
Fossify_Keyboard: 1.9.1
Fossify_MusicPlayer: 1.8.1
Fossify_Notes: 1.7.0
Fossify_VoiceRecorder: 1.7.1
Gramophone: 1.1.2
IceravenBrowser: iceraven-2.48.0
ImageToolbox: 4.2.0
LibreTube: 32.1
LocalSend: 1.18.2
LTECleanerFOSS: 5.1.0
Magisk: 30.7
MicroG_RE: 7.1.1
MoeList: 3.8.0
Momogram: 12.10.1-d225908548
Nekogram: 12.10.1
Omni: 1.3
OuterTune: 0.10.1
Pixelplay: 0.7.5-beta
PhonographPlus: 2.0.1
PrismFileExplorer: 1.3.2
Quantum_Download_Manager: 1.0.3
Shizuku: 13.6.0.r1086.2650830c
RetroMusicPlayer: 7.0.3
Morphe_YouTube: 21.13.164
Morphe_YTMusic: 9.15.51
GooglePhotos: 7.80.0.929302933
Twitter: 12.24.0-prod.02
Morphe_MicroG: 7.1.1
Morphe_Manager: 1.30.0
Sdmaid: 2.1.0-rc0
SimpMusic: 2.1.0
Symphony: 2024.12.115
Termux: 0.118.3
ThunderbirdAndroid: 23.0
VisualCodeSpace: 2.0.1
WeatherMaster: 3.10.4
XedEditor: 3.3.4
Ytdlnis: 1.9.0
